transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
54,01/01/2023,09:19:21 AM,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
55,01/01/2023,09:19:26 AM,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
56,01/01/2023,09:21:08 AM,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte
57,01/01/2023,09:22:17 AM,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
58,01/01/2023,09:22:46 AM,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm
59,01/01/2023,09:29:56 AM,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
60,01/01/2023,09:29:56 AM,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti
61,01/01/2023,09:29:57 AM,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
62,01/01/2023,09:34:17 AM,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
63,01/01/2023,09:40:13 AM,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
64,01/01/2023,09:41:22 AM,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
65,01/01/2023,09:41:22 AM,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone
66,01/01/2023,09:44:20 AM,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
67,01/01/2023,09:44:46 AM,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
68,01/01/2023,09:46:46 AM,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot
69,01/01/2023,09:47:40 AM,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
70,01/01/2023,09:50:44 AM,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot
71,01/01/2023,09:50:44 AM,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti
72,01/01/2023,09:52:58 AM,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
73,01/01/2023,09:53:28 AM,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
74,01/01/2023,09:53:44 AM,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
75,01/01/2023,09:53:44 AM,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone
76,01/01/2023,09:53:49 AM,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
77,01/01/2023,09:54:46 AM,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
78,01/01/2023,09:55:16 AM,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
79,01/01/2023,09:56:30 AM,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
80,01/01/2023,10:00:39 AM,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
81,01/01/2023,10:03:55 AM,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
82,01/01/2023,10:14:49 AM,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
83,01/01/2023,10:14:49 AM,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant
84,01/01/2023,10:16:30 AM,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
85,01/01/2023,10:16:33 AM,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
86,01/01/2023,10:18:14 AM,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
87,01/01/2023,10:18:52 AM,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
88,01/01/2023,10:19:42 AM,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
89,01/01/2023,10:24:19 AM,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
90,01/01/2023,10:25:22 AM,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
91,01/01/2023,10:25:45 AM,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
92,01/01/2023,10:25:45 AM,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti
93,01/01/2023,10:27:48 AM,2,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
94,01/01/2023,10:30:07 AM,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
95,01/01/2023,10:30:07 AM,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone
96,01/01/2023,10:35:47 AM,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
97,01/01/2023,10:41:53 AM,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
98,01/01/2023,10:47:53 AM,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
99,01/01/2023,10:49:13 AM,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg
100,01/01/2023,10:49:51 AM,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
101,01/01/2023,10:51:17 AM,1,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
102,01/01/2023,10:52:44 AM,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
103,01/01/2023,10:52:44 AM,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant
104,01/01/2023,10:56:14 AM,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte
105,01/01/2023,10:56:14 AM,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
106,01/01/2023,11:01:48 AM,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
107,01/01/2023,11:01:58 AM,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte
108,01/01/2023,11:01:58 AM,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant
109,01/01/2023,11:03:25 AM,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
110,01/01/2023,11:03:25 AM,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant
111,01/01/2023,11:04:32 AM,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
112,01/01/2023,11:08:11 AM,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
113,01/01/2023,11:08:59 AM,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg
114,01/01/2023,11:09:01 AM,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
115,01/01/2023,11:10:21 AM,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
116,01/01/2023,11:10:21 AM,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone
117,01/01/2023,11:10:58 AM,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
118,01/01/2023,11:12:29 AM,1,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
119,01/01/2023,11:16:02 AM,2,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg
120,01/01/2023,11:21:00 AM,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
121,01/01/2023,11:21:04 AM,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg
122,01/01/2023,11:21:14 AM,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
123,01/01/2023,11:23:01 AM,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
124,01/01/2023,11:23:43 AM,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
125,01/01/2023,11:23:43 AM,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone
126,01/01/2023,11:25:35 AM,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg
127,01/01/2023,11:25:37 AM,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino
128,01/01/2023,11:28:15 AM,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
129,01/01/2023,11:28:29 AM,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
130,01/01/2023,11:29:25 AM,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
131,01/01/2023,11:29:57 AM,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
132,01/01/2023,11:29:57 AM,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone 
133,01/01/2023,11:30:22 AM,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
134,01/01/2023,11:31:35 AM,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
135,01/01/2023,11:31:43 AM,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg
136,01/01/2023,11:31:43 AM,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone
137,01/01/2023,11:31:53 AM,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
138,01/01/2023,11:31:53 AM,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant
139,01/01/2023,11:39:14 AM,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
140,01/01/2023,11:39:14 AM,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant
141,01/01/2023,11:40:26 AM,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
142,01/01/2023,11:43:57 AM,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
143,01/01/2023,11:44:09 AM,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte
144,01/01/2023,11:47:13 AM,1,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
145,01/01/2023,11:48:56 AM,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
146,01/01/2023,11:49:42 AM,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
147,01/01/2023,11:49:42 AM,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone
148,01/01/2023,11:50:16 AM,2,3,Astoria,26,3,Coffee,Organic brewed coffee,Brazilian Rg
149,01/01/2023,11:50:23 AM,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
150,01/01/2023,11:50:58 AM,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
151,01/01/2023,11:51:30 AM,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
152,01/01/2023,11:52:31 AM,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
153,01/01/2023,11:57:17 AM,2,3,Astoria,37,3,Coffee,Barista Espresso,Espresso shot
154,01/01/2023,11:57:59 AM,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
155,01/01/2023,11:57:59 AM,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone
156,01/01/2023,11:58:15 AM,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
157,01/01/2023,12:00:20 PM,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
158,01/01/2023,12:01:00 PM,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg
159,01/01/2023,12:01:20 PM,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
160,01/01/2023,12:01:20 PM,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant
161,01/01/2023,12:03:09 PM,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
162,01/01/2023,12:03:38 PM,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
163,01/01/2023,12:03:43 PM,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
164,01/01/2023,12:04:22 PM,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
165,01/01/2023,12:05:31 PM,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
166,01/01/2023,12:06:29 PM,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
167,01/01/2023,12:07:42 PM,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
168,01/01/2023,12:08:21 PM,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
169,01/01/2023,12:08:36 PM,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
170,01/01/2023,12:09:11 PM,2,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
171,01/01/2023,12:09:12 PM,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
172,01/01/2023,12:13:07 PM,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte
173,01/01/2023,12:14:26 PM,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
174,01/01/2023,12:17:38 PM,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
175,01/01/2023,12:18:07 PM,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
176,01/01/2023,12:18:44 PM,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg
177,01/01/2023,12:20:16 PM,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
178,01/01/2023,12:23:39 PM,1,3,Astoria,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
179,01/01/2023,12:27:06 PM,2,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
180,01/01/2023,12:30:46 PM,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
181,01/01/2023,12:30:49 PM,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
182,01/01/2023,12:33:20 PM,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
183,01/01/2023,12:33:35 PM,2,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
184,01/01/2023,12:35:53 PM,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
185,01/01/2023,12:36:57 PM,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
186,01/01/2023,12:38:28 PM,2,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg
187,01/01/2023,12:42:26 PM,1,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
188,01/01/2023,12:44:01 PM,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
189,01/01/2023,12:44:31 PM,1,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
190,01/01/2023,12:44:32 PM,1,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
191,01/01/2023,12:45:52 PM,2,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
192,01/01/2023,12:46:22 PM,1,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
193,01/01/2023,12:46:26 PM,1,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
194,01/01/2023,12:46:55 PM,1,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
195,01/01/2023,12:46:55 PM,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant
196,01/01/2023,12:48:08 PM,2,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte
197,01/01/2023,12:49:48 PM,1,8,Hell's Kitchen,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
198,01/01/2023,12:50:15 PM,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
199,01/01/2023,12:50:28 PM,2,3,Astoria,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
200,01/01/2023,12:51:21 PM,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
201,01/01/2023,12:51:57 PM,1,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
202,01/01/2023,12:51:57 PM,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone
203,01/01/2023,12:52:18 PM,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
204,01/01/2023,12:52:18 PM,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant
205,01/01/2023,12:53:11 PM,2,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
206,01/01/2023,12:53:59 PM,1,8,Hell's Kitchen,37,3,Coffee,Barista Espresso,Espresso shot
207,01/01/2023,12:55:25 PM,1,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg
208,01/01/2023,12:55:27 PM,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
209,01/01/2023,12:55:27 PM,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant
210,01/01/2023,12:55:36 PM,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
211,01/01/2023,12:55:53 PM,2,8,Hell's Kitchen,26,3,Coffee,Organic brewed coffee,Brazilian Rg
212,01/01/2023,12:56:33 PM,1,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
213,01/01/2023,12:56:59 PM,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
214,01/01/2023,12:58:54 PM,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
215,01/01/2023,12:59:06 PM,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
216,01/01/2023,01:00:38 PM,2,5,Lower Manhattan,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
217,01/01/2023,01:01:33 PM,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
218,01/01/2023,01:02:40 PM,1,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg
219,01/01/2023,01:02:40 PM,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone 
220,01/01/2023,01:02:52 PM,1,8,Hell's Kitchen,26,3,Coffee,Organic brewed coffee,Brazilian Rg
221,01/01/2023,01:03:13 PM,2,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
222,01/01/2023,01:04:01 PM,2,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
223,01/01/2023,01:04:01 PM,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone
224,01/01/2023,01:04:22 PM,2,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
225,01/01/2023,01:04:37 PM,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
226,01/01/2023,01:04:51 PM,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
227,01/01/2023,01:05:56 PM,1,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
